Special scrambled eggs,"['4 large free-range eggs', '2 soft buns', '1 red onion', 'red wine vinegar', 'olive oil', '1 teaspoon garam masala', '200 g ripe tomatoes', '½ a bunch of coriander , (15g)']",https://www.jamieoliver.com/recipes/egg-recipes/special-scrambled-eggs/,https://img.jamieoliver.com/jamieoliver/recipe-database/109927564.jpg?tr=w-330
Lamb kofta flatbreads,"['250 g minced lamb', '2 teaspoons rose harissa , plus extra to serve', '250 g red cabbage', '2 seeded wholemeal tortillas , or flatbreads', '2 tablespoons cottage cheese']",https://www.jamieoliver.com/recipes/lamb-recipes/lamb-kofta-flatbreads/,https://img.jamieoliver.com/jamieoliver/recipe-database/76715309.jpg?tr=w-330
Mini super-fruit breakfast wraps,"['1 satsuma', '1 wholemeal tortilla wrap', '1 teaspoon quality cocoa powder', '2 tablespoons natural yoghurt', '1 ripe banana', '1 handful fresh berries , such as raspberries, bluberries', '1 teaspoon mixed toasted seeds']",https://www.jamieoliver.com/recipes/fruit-recipes/mini-super-fruit-breakfast-wraps/,https://img.jamieoliver.com/jamieoliver/recipe-database/51430773.jpg?tr=w-330
Garlic mushroom burgers,"['2 cloves of garlic', '2 sprigs of fresh flat-leaf parsley', '35 g butter , (at room temperature)', '2 large mushrooms', '2 burger buns or ciabatta', 'English mustard', '1 lemon', '1 handful of rocket']",https://www.jamieoliver.com/recipes/vegetables-recipes/garlic-mushroom-burgers/,https://img.jamieoliver.com/jamieoliver/recipe-database/Dc8D4y5cKcIBLX1EA8Tbab.jpg?tr=w-330
Mega meatball sub,"['olive oil', '1 small potato', '500 g minced higher-welfare pork shoulder', '500 g quality minced beef', '4 sprigs of fresh rosemary', '6 submarine rolls', 'red wine vinegar', '100 g Red Leicester cheese', '50 g watercress', 'GRAVY', '2 red onions', '1 bulb of fennel', '1 heaped tablespoon plain flour', '100 ml porter or stout', '1 litre quality organic chicken stock', '1 tablespoon HP sauce', '1 tablespoon tomato ketchup', '1 tablespoon Worcestershire sauce', '1 teaspoon English mustard', '1 tablespoon mango chutney']",https://www.jamieoliver.com/recipes/beef-recipes/mega-meatball-sub/,https://img.jamieoliver.com/jamieoliver/recipe-database/83619417.jpg?tr=w-330
Lobster burger,"['1 cooked 700-800g lobsters, from sustainable sources', 'olive oil', '1 heaped teaspoon Dijon mustard', '4 thin rashers of higher-welfare smoked streaky bacon', '4 burger buns', '1 clove of garlic', 'tomato ketchup', 'mayonnaise, made using free-range eggs', '1 lemon', '1 handful of watercress', '1 soft round lettuce', '1 red onion', 'GRATED TOMATO SALSA', '2 ripe tomatoes (use 1 yellow if you like)', '½ a fresh red chilli', 'extra virgin olive oil', 'red wine vinegar']",https://www.jamieoliver.com/recipes/seafood-recipes/lobster-burger/,https://img.jamieoliver.com/jamieoliver/recipe-database/9efqOqvWaMZ91PbI2m9tsk.jpg?tr=w-330
Oyster po'boy,"['vegetable oil', '20 oysters, shucked, from sustainable sources', 'paprika', '4 small baguettes or ciabatta rolls', '8 ripe cherry tomatoes', '½ a cucumber', 'cos, little gem and/or wild rocket leaves', 'TEMPURA BATTER', '2 large free-range egg yolks', '1 teaspoon cornflour', '175 g self-raising flour', 'TARTARE SAUCE', '1 teaspoon capers', '2 cornichons', 'a few sprigs of fresh flat-leaf parsley', '150 g mayonnaise, made using free-range eggs', '1 lemon']",https://www.jamieoliver.com/recipes/seafood-recipes/oyster-po-boy/,https://img.jamieoliver.com/jamieoliver/recipe-database/7eaOTbDjKwqAZC6aZkkn2U.jpg?tr=w-330
Grilled lobster rolls,"['85 g butter', '6 submarine rolls', '500 g cooked lobster meat, from sustainable sources', '1 stick of celery', '2 tablespoons mayonnaise , made using free-range eggs', '½ an iceberg lettuce']",https://www.jamieoliver.com/recipes/seafood-recipes/grilled-lobster-rolls/,https://img.jamieoliver.com/jamieoliver/recipe-database/Bv4tuuQkKEnBQBjSFmIYyh.jpg?tr=w-330
Cevapi with ajvar,"['750 g quality minced beef', '400 g higher-welfare minced pork', '1 small bulb of garlic, plus 4 cloves', '2 teaspoons bicarbonate of soda', '1 teaspoon sweet smoked paprika', '1 large free-range egg', '150 ml sparkling water', 'olive oil', '6 red peppers', '2 aubergines', '1 bunch of fresh flat-leaf parsley', '2 lemons', 'extra virgin olive oil', '1 onion', '6 flatbreads', 'pickled guindilla peppers , optional', 'sour cream']",https://www.jamieoliver.com/recipes/beef-recipes/cevapi-with-ajvar/,https://img.jamieoliver.com/jamieoliver/recipe-database/46257621.jpg?tr=w-330
"Runner beans, goat’s cheese & walnuts on sourdough","['150 g runner beans', '2 spring onions', '1 tablespoon walnuts', 'olive oil', '4 slices sourdough bread', ""50 g goat's cheese"", 'extra virgin olive oil']",https://www.jamieoliver.com/recipes/bread-recipes/runner-beans-goat-s-cheese-walnuts-on-sourdough/,https://img.jamieoliver.com/jamieoliver/recipe-database/4dwu7sMM4qtAoURc85Ww-_.jpg?tr=w-330
